start,end ,activity,imu_start,imu_end
0,1,head nod,1.74,2.74
1,10,hair,2.74,11.74
10,11,idle,11.74,12.74
11,14,hair,12.74,15.74
14,16,false alarm,15.74,17.74
16,17,idle,17.74,18.74
17,24,hair,18.74,25.74
24,27,idle,25.74,28.74
27,33,false alarm,28.74,34.74
33,34,hair,34.74,35.74
34,36,idle,35.74,37.74
36,38,hair,37.74,39.74
38,41,idle,39.74,42.74
41,46,false alarm,42.74,47.74
46,48,false alarm,47.74,49.74
48,52,hair,49.74,53.74
52,53,idle,53.74,54.74
53,55,hair,54.74,56.74
55,56,idle,56.74,57.74
56,59,hair,57.74,60.74
59,62,idle,60.74,63.74
62,65,hair,63.74,66.74
65,66,idle,66.74,67.74
66,67,hair,67.74,68.74
67,68,idle,68.74,69.74
68,69,hair,69.74,70.74
69,70,false alarm,70.74,71.74
70,71,idle,71.74,72.74
71,74,false alarm,72.74,75.74
74,75,hair,75.74,76.74
75,76,idle,76.74,77.74
76,78,hair,77.74,79.74
78,79,idle,79.74,80.74
79,81,false alarm,80.74,82.74
81,82,idle,82.74,83.74
82,86,hair,83.74,87.74
86,87,idle,87.74,88.74
87,88,hair,88.74,89.74
88,89,idle,89.74,90.74
89,93,hair,90.74,94.74
93,94,false alarm,94.74,95.74
94,95,hair,95.74,96.74
95,97,false alarm,96.74,98.74
