start,end ,activity,imu_start,imu_end
0,6,idle,0.0,6.0
6,7,head nod,6.0,7.0
7,10,idle,7.0,10.0
10,17,nail,10.0,17.0
17,23,false alarm,17.0,23.0
23,24,idle,23.0,24.0
24,25,false alarm,24.0,25.0
25,42,nail,25.0,42.0
42,43,idle,42.0,43.0
43,50,false alarm,43.0,50.0
50,51,nail,50.0,51.0
51,52,idle,51.0,52.0
52,57,nail,52.0,57.0
57,58,idle,57.0,58.0
58,59,false alarm,58.0,59.0
59,61,nail,59.0,61.0
61,62,idle,61.0,62.0
62,67,nail,62.0,67.0
67,74,false alarm,67.0,74.0
74,83,nail,74.0,83.0
83,84,false alarm,83.0,84.0
84,85,idle,84.0,85.0
